"","n_rep","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","sd_env","phi","sd_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"139",39,100,0.670607612654567,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.52895,7.47105,26
"140",40,57,0.888147532381117,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.119298245614,6.23970175438597,21.359
"141",41,88,0.215668720565736,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.3335681818182,10.6664318181818,29
"142",42,136,0.459813941642642,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.0711176470588,11.9288823529412,29
"143",43,55,0.731989911384881,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,19.4214545454545,7.63254545454545,27.054
"144",44,119,0.183792812377214,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.6786890756303,11.3213109243697,25
"145",45,106,0.884957642294466,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.8535377358491,10.1464622641509,27
"146",46,140,0.38984017521143,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.24785,9.26615,25.514
"147",47,138,0.726846857555211,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.4820869565217,9.51791304347826,28
"148",48,145,0.508511075563729,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.3160896551724,12.0299103448276,28.346
"149",49,118,0.884506243653595,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.8849745762712,5.11502542372881,19
"150",50,91,0.679093007557094,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.2042417582418,7.47275824175824,20.677
"151",51,54,0.546974760107696,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.236962962963,9.76303703703704,28
"152",52,51,0.604891268908977,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.0257254901961,8.97427450980392,26
"153",53,122,0.556035131216049,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.5319754098361,9.46802459016394,24
"154",54,139,0.25391919631511,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.5317553956835,10.4682446043165,26
"155",55,83,0.102413997612894,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.2376506024096,11.9263493975904,27.164
"156",56,141,0.429354296252132,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.1584609929078,11.6555390070922,29.814
"157",57,115,0.280521450005472,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.590347826087,7.10765217391304,20.698
"158",58,69,0.356459354609251,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.5348260869565,10.9901739130435,26.525
"159",59,67,0.487556823343039,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,12.663552238806,11.482447761194,24.146
"160",60,121,0.660117984749377,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.5551157024793,6.58788429752066,23.143
"161",61,129,0.492911228910089,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.0392248062015,11.9607751937985,29
"162",62,104,0.811621380411088,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.8560288461538,8.17697115384615,26.033
"163",63,103,0.790377125144005,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.3546699029126,7.61133009708738,20.966
